###nvmain stats
######===============
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredPauses 2
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.reads 149
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.writes 2
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.activates 60
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.precharges 60
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.refreshes 672
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.sub_array_rb_hit 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.sub_array_rb_miss 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaits 560
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaitTotal 16612
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaitAverage 29.6643
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredWriteTimes 2
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelCountHisto {0: 1}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bankEnergy 26278.8nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activeEnergy 204.324nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.burstEnergy 163.128nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshEnergy 25911.3nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bankPower 1.50068e+07W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activePower 116681W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.burstPower 93156.1W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshPower 1.47969e+07W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bandwidth 231.713MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.dataCycles 604
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.powerCycles 111107
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.utilization 0.0054362
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.reads 149
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.writes 2
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activates 60
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.precharges 60
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshes 672
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activeCycles 18658
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.standbyCycles 92449
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.fastExitActiveCycles 37522
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.fastExitPrechargeCycles 1602501
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaits 148
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaitTotal 280
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaitAverage 1.89189
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.subArrayEnergy 26312nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.activeEnergy 207.729nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.burstEnergy 192.94nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.writeEnergy 0nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.refreshEnergy 25911.3nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredPauses 10
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.reads 169
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.writes 10
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.activates 61
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.precharges 61
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.refreshes 672
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.sub_array_rb_hit 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.sub_array_rb_miss 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaits 483
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaitTotal 15301
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaitAverage 31.6791
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredWriteTimes 10
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelCountHisto {0: 9}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bankEnergy 26312nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activeEnergy 207.729nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.burstEnergy 192.94nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshEnergy 25911.3nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bankPower 1.50257e+07W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activePower 118626W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.burstPower 110180W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshPower 1.47969e+07W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bandwidth 274.679MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.dataCycles 716
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.powerCycles 111107
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.utilization 0.00644424
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.reads 169
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.writes 10
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activates 61
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.precharges 61
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshes 672
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activeCycles 20525
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.standbyCycles 90582
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.fastExitActiveCycles 38492
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.fastExitPrechargeCycles 1601531
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaits 188
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaitTotal 307
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaitAverage 1.63298
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.subArrayEnergy 26242.4nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.activeEnergy 160.054nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.burstEnergy 170.966nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.writeEnergy 0nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.refreshEnergy 25911.3nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredPauses 35
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.reads 125
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.writes 35
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.activates 47
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.precharges 47
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.refreshes 672
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.sub_array_rb_hit 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.sub_array_rb_miss 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaits 453
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaitTotal 13728
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaitAverage 30.3046
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredWriteTimes 35
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelCountHisto {0: 34}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.bankEnergy 26242.4nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activeEnergy 160.054nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.burstEnergy 170.966nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.refreshEnergy 25911.3nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.bankPower 1.4986e+07W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activePower 91400.3W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.burstPower 97632W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.refreshPower 1.47969e+07W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.bandwidth 245.523MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.dataCycles 640
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.powerCycles 111107
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.utilization 0.00576021
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.reads 125
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.writes 35
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activates 47
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.precharges 47
